Month,Field Production of Crude Oil (Thousands of Barrels per Day),,,,,,
"Nov 1958,69",75,,,,,,
"Oct 1958,69",64,,,,,,
"Sep 1958,70",88,,,,,,
"Aug 1958,69",36,,,,,,
"Jul 1958,65",71,,,,,,
"Jun 1958,63",39,,,,,,
"May 1958,62",32,,,,,,
"Apr 1958,63",0,,,,,,
"Mar 1958,62",77,,,,,,
"Feb 1958,68",20,,,,,,
"Jan 1958,68",80,,,,,,
"Dec 1957,69",24,,,,,,
"Nov 1957,68",42,,,,,,
"Oct 1957,68",40,,,,,,
"Sep 1957,68",93,,,,,,
"Aug 1957,67",79,,,,,,
"Jul 1957,68",64,,,,,,
